Station;Code_Sandre;Date;Indicateur;IPQDE;Longitude_station;Latitude_station
VALENCIENNES;11033500000;2020-12-23;61.67226370436713;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-24;63.25424322162581;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-25;65.34463207778441;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-26;67.89742795919669;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-27;69.78234174646683;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-28;71.14660750900543;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-29;72.07810647038116;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-30;72.62831252577222;;3.5328992;50.3698811
VALENCIENNES;11033500000;2020-12-31;72.86153342652105;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-01;72.44971476022567;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-02;71.50991800166203;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-03;70.91970639395791;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-04;70.70329375177967;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-05;70.867366710878;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-06;71.39998585326258;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-07;72.23331624625725;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-08;73.43199176246672;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-09;74.72350240191106;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-10;76.10365788931094;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-11;77.22878682447168;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-12;78.12819893406858;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-13;78.821816793398;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-14;79.32239214435758;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-15;79.56539646379926;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-16;79.48106925304421;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-17;79.05061107755084;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-18;78.55839667136375;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-19;78.47202431168564;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-20;78.84290939742026;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-21;79.69868411486587;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-22;81.03775253864994;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-23;83.02472927950559;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-24;85.5804786541648;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-25;87.80210729729801;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-26;89.48454545765759;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-27;90.70869826077057;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-28;91.51731981684648;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-29;91.42674580315506;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-30;90.81939493292806;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-01-31;89.57470055533274;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-01;88.36438738269187;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-02;87.1958716393989;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-03;86.0769275875546;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-04;85.01524496592887;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-05;84.7193164748284;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-06;84.52392421016103;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-07;83.93507708235023;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-08;82.90086609867791;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-09;81.95449860459384;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-10;81.11720156920997;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-11;80.41136963789035;1.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-12;80.00647255555326;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-13;79.95031802519202;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-14;80.8597961463351;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-15;82.15715326510055;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-16;83.22055738325547;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-17;84.07288579902209;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-18;84.72997174307235;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-19;85.08704942020834;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-20;84.67761904043023;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-21;83.5175764638686;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-22;81.93911110851425;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-23;80.29845123659194;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-24;78.59216353641783;;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-25;76.81594246149122;2.0;3.5328992;50.3698811
VALENCIENNES;11033500000;2021-02-26;74.96412952631816;;3.5328992;50.3698811
